time,ask,high_option_ask,low_option_ask,spx_price
15:19,89,0.3,0.65,5108.63
15:20,89,0.35,0.6,5109.51
15:21,89,0.4,0.5,5110.41
15:22,89,0.45,0.4,5110.0
15:23,89,0.6,0.3,5110.44
15:24,89,0.55,0.35,5110.9
15:25,89,0.5,0.3,5111.43
15:26,89,0.6,0.3,5111.11
15:27,89,0.55,0.3,5111.29
15:28,91,0.5,0.3,5111.32
15:29,92,0.35,0.35,5111.51
15:30,94,0.3,0.35,5112.37
15:31,94,0.25,0.35,5109.66
15:32,95,0.2,0.35,5110.33
15:33,94,0.15,0.4,5109.42
15:34,94,0.15,0.45,5109.31
15:35,95,0.1,0.45,5108.22
15:36,95,0.15,0.4,5108.03
15:37,95,0.15,0.3,5108.07
15:38,95,0.1,0.4,5108.34
15:39,92,0.1,0.5,5107.26
15:40,92,0.1,0.75,5106.97
15:41,93,0.1,0.55,5106.4
15:42,93,0.1,0.6,5106.0
15:43,94,0.05,0.5,5106.32
15:44,92,0.05,0.55,5104.72
15:45,85,0.05,0.7,5101.42
15:46,68,0.05,1.2,5103.75
15:47,50,0.05,3.0,5103.45
15:48,41,0.05,2.45,5103.44
15:49,27,0.05,1.6,5105.24
15:50,34,0.05,1.75,5104.72
15:51,36,0.05,1.85,5104.91
15:52,27,0.05,0.5,5104.29
15:53,30,0.05,0.7,5103.52
15:54,31,0.05,0.5,5103.46
15:55,11,0.05,0.5,5102.59
15:56,9,0.05,0.1,5100.17
15:57,8,0.05,0.2,5100.21
15:58,4,0.05,0.15,5100.62
15:59,5,0.05,0.1,5101.43
